Year,United States,Japan,Germany
1960,,,
1961,,,
1962,,,
1963,,,
1964,,,
1965,,,
1966,,,
1967,,,
1968,,,
1969,,,
1970,1.11744E+11,84486354494,63368350345
1971,1.30792E+11,92040849347,75139597948
1972,2.79724E+11,1.21434E+11,88124363001
1973,3.16688E+11,1.75968E+11,1.10703E+11
1974,3.36702E+11,1.86706E+11,1.11411E+11
1975,3.47912E+11,1.89416E+11,1.16386E+11
1976,3.95754E+11,2.04568E+11,1.22361E+11
1977,4.67452E+11,2.43491E+11,1.4308E+11
1978,5.58153E+11,3.4489E+11,1.80476E+11
1979,6.41769E+11,3.73963E+11,2.22884E+11
1980,6.72378E+11,3.9053E+11,2.4698E+11
1981,7.4876E+11,4.17301E+11,1.98686E+11
1982,7.52891E+11,3.75161E+11,1.81863E+11
1983,8.14433E+11,3.97414E+11,1.82266E+11
1984,9.47866E+11,4.15315E+11,1.68161E+11
1985,1.0277E+12,4.36528E+11,1.66136E+11
1986,1.08066E+12,6.49491E+11,2.36E+11
1987,1.11966E+12,8.21E+11,2.94862E+11
1988,1.17688E+12,1.04487E+12,3.21821E+11
1989,1.24244E+12,1.06338E+12,3.30838E+11
1990,1.26927E+12,1.11367E+12,4.33377E+11
1991,1.23883E+12,1.26392E+12,4.65938E+11
1992,1.2928E+12,1.32659E+12,5.35527E+11
1993,1.3779E+12,1.43751E+12,4.98153E+11
1994,1.48687E+12,1.5307E+12,5.32215E+11
1995,1.594E+12,1.69727E+12,6.08451E+11
1996,1.72121E+12,1.55459E+12,5.74831E+11
1997,1.85128E+12,1.37396E+12,5.00839E+11
1998,2.01695E+12,1.20011E+12,5.10261E+11
1999,2.19472E+12,1.33989E+12,5.05504E+11
2000,2.37271E+12,1.41534E+12,4.50103E+11
2001,2.38501E+12,1.21315E+12,4.23625E+11
2002,2.35412E+12,1.09843E+12,4.18088E+11
2003,2.47718E+12,1.16213E+12,4.88285E+11
2004,2.70339E+12,1.23913E+12,5.37133E+11
2005,2.99049E+12,1.2514E+12,5.42928E+11
2006,3.18286E+12,1.19849E+12,5.92885E+11
2007,3.23108E+12,1.16349E+12,6.86888E+11
2008,3.13645E+12,1.29162E+12,7.60232E+11
2009,2.72334E+12,1.24961E+12,6.55295E+11
2010,2.75606E+12,1.30268E+12,6.65202E+11
2011,2.92292E+12,1.45551E+12,7.65026E+11
2012,3.17157E+12,1.49117E+12,7.18085E+11
2013,3.33468E+12,1.27997E+12,7.45307E+11
2014,3.59552E+12,1.22839E+12,7.84354E+11
2015,3.77779E+12,1.10996E+12,6.7638E+11
2016,3.88889E+12,1.23894E+12,7.08908E+11
2017,4.11642E+12,1.23307E+12,7.58113E+11
2018,4.39901E+12,1.27372E+12,8.44241E+11
2019,4.59472E+12,1.30752E+12,8.37609E+11
2020,4.60987E+12,1.28887E+12,8.412E+11
2021,5.03978E+12,1.28171E+12,9.21597E+11
2022,5.55881E+12,1.10507E+12,9.03782E+11
2023,5.92963E+12,1.08332E+12,9.73012E+11
