Series code,IR01'MADR1M
1970/01,6.25
1970/02,6.25
1970/03,6.25
1970/04,6.25
1970/05,6.25
1970/06,6.25
1970/07,6.25
1970/08,6.25
1970/09,6.25
1970/10,6
1970/11,6
1970/12,6
1971/01,5.75
1971/02,5.75
1971/03,5.75
1971/04,5.75
1971/05,5.5
1971/06,5.5
1971/07,5.25
1971/08,5.25
1971/09,5.25
1971/10,5.25
1971/11,5.25
1971/12,4.75
1972/01,4.75
1972/02,4.75
1972/03,4.75
1972/04,4.75
1972/05,4.75
1972/06,4.25
1972/07,4.25
1972/08,4.25
1972/09,4.25
1972/10,4.25
1972/11,4.25
1972/12,4.25
1973/01,4.25
1973/02,4.25
1973/03,4.25
1973/04,5
1973/05,5.5
1973/06,5.5
1973/07,6
1973/08,7
1973/09,7
1973/10,7
1973/11,7
1973/12,9
1974/01,9
1974/02,9
1974/03,9
1974/04,9
1974/05,9
1974/06,9
1974/07,9
1974/08,9
1974/09,9
1974/10,9
1974/11,9
1974/12,9
1975/01,9
1975/02,9
1975/03,9
1975/04,8.5
1975/05,8.5
1975/06,8
1975/07,8
1975/08,7.5
1975/09,7.5
1975/10,6.5
1975/11,6.5
1975/12,6.5
1976/01,6.5
1976/02,6.5
1976/03,6.5
1976/04,6.5
1976/05,6.5
1976/06,6.5
1976/07,6.5
1976/08,6.5
1976/09,6.5
1976/10,6.5
1976/11,6.5
1976/12,6.5
1977/01,6.5
1977/02,6.5
1977/03,6
1977/04,5
1977/05,5
1977/06,5
1977/07,5
1977/08,5
1977/09,4.25
1977/10,4.25
1977/11,4.25
1977/12,4.25
1978/01,4.25
1978/02,4.25
1978/03,3.5
1978/04,3.5
1978/05,3.5
1978/06,3.5
1978/07,3.5
1978/08,3.5
1978/09,3.5
1978/10,3.5
1978/11,3.5
1978/12,3.5
1979/01,3.5
1979/02,3.5
1979/03,3.5
1979/04,4.25
1979/05,4.25
1979/06,4.25
1979/07,5.25
1979/08,5.25
1979/09,5.25
1979/10,5.25
1979/11,6.25
1979/12,6.25
1980/01,6.25
1980/02,7.25
1980/03,9
1980/04,9
1980/05,9
1980/06,9
1980/07,9
1980/08,8.25
1980/09,8.25
1980/10,8.25
1980/11,7.25
1980/12,7.25
1981/01,7.25
1981/02,7.25
1981/03,6.25
1981/04,6.25
1981/05,6.25
1981/06,6.25
1981/07,6.25
1981/08,6.25
1981/09,6.25
1981/10,6.25
1981/11,6.25
1981/12,5.5
1982/01,5.5
1982/02,5.5
1982/03,5.5
1982/04,5.5
1982/05,5.5
1982/06,5.5
1982/07,5.5
1982/08,5.5
1982/09,5.5
1982/10,5.5
1982/11,5.5
1982/12,5.5
1983/01,5.5
1983/02,5.5
1983/03,5.5
1983/04,5.5
1983/05,5.5
1983/06,5.5
1983/07,5.5
1983/08,5.5
1983/09,5.5
1983/10,5
1983/11,5
1983/12,5
1984/01,5
1984/02,5
1984/03,5
1984/04,5
1984/05,5
1984/06,5
1984/07,5
1984/08,5
1984/09,5
1984/10,5
1984/11,5
1984/12,5
1985/01,5
1985/02,5
1985/03,5
1985/04,5
1985/05,5
1985/06,5
1985/07,5
1985/08,5
1985/09,5
1985/10,5
1985/11,5
1985/12,5
1986/01,4.5
1986/02,4.5
1986/03,4
1986/04,3.5
1986/05,3.5
1986/06,3.5
1986/07,3.5
1986/08,3.5
1986/09,3.5
1986/10,3.5
1986/11,3
1986/12,3
1987/01,3
1987/02,2.5
1987/03,2.5
1987/04,2.5
1987/05,2.5
1987/06,2.5
1987/07,2.5
1987/08,2.5
1987/09,2.5
1987/10,2.5
1987/11,2.5
1987/12,2.5
1988/01,2.5
1988/02,2.5
1988/03,2.5
1988/04,2.5
1988/05,2.5
1988/06,2.5
1988/07,2.5
1988/08,2.5
1988/09,2.5
