Year,United States,Japan,Germany
1960,180671000,93216000,72814900
1961,183691000,94055000,73377632
1962,186538000,94933000,74025784
1963,189242000,95900000,74714353
1964,191889000,96903000,75318337
1965,194303000,97952000,75963695
1966,196560000,98851000,76600311
1967,198712000,99879000,76951336
1968,200706000,101011000,77294314
1969,202677000,102219000,77909682
1970,205052000,103403000,78169289
1971,207661000,105697000,78312842
1972,209896000,107188000,78688452
1973,211909000,108707000,78936666
1974,213854000,110162000,78967433
1975,215973000,111573000,78673554
1976,218035000,112775000,78336950
1977,220239000,113872000,78159814
1978,222585000,114913000,78091820
1979,225055000,115890000,78126350
1980,227225000,116807000,78288576
1981,229466000,117661000,78407907
1982,231664000,118480000,78333366
1983,233792000,119307000,78128282
1984,235825000,120083000,77858685
1985,237924000,120837000,77684873
1986,240133000,121482000,77720436
1987,242289000,122069000,77839920
1988,244499000,122578000,78144619
1989,246819000,123069000,78751283
1990,249623000,123478000,79433029
1991,252981000,123964000,80013896
1992,256514000,124425000,80624598
1993,259919000,124829000,81156363
1994,263126000,125178000,81438348
1995,266278000,125472000,81678051
1996,269394000,125757000,81914831
1997,272657000,126057000,82034771
1998,275854000,126400000,82047195
1999,279040000,126631000,82100243
2000,282162411,126843000,82211508
2001,284968955,127149000,82349925
2002,287625193,127445000,82488495
2003,290107933,127718000,82534176
2004,292805298,127761000,82516260
2005,295516599,127773000,82469422
2006,298379912,127854000,82376451
2007,301231207,128001000,82266372
2008,304093966,128063000,82110097
2009,306771529,128047000,81902307
2010,309327143,128070000,81776930
2011,311583481,127833000,80274983
2012,313877662,127629000,80425823
2013,316059947,127445000,80645605
2014,318386329,127276000,80982500
2015,320738994,127141000,81686611
2016,323071755,127076000,82348669
2017,325122128,126972000,82657002
2018,326838199,126811000,82905782
2019,328329953,126633000,83092962
2020,331526933,126261000,83160871
2021,332048977,125681593,83196078
2022,333271411,125124989,83797985
2023,334914895,124516650,83280000
